id,symbol,name,isin
4672,511750,Ascent Exim (India) Ltd,INE138E01012
63858,ASCOM,Ascom Leasing & Investments Ltd,INE08KD01015
24066,534564,Aseem Global Ltd,INE439C01018
3406,526309,Asha Agro Industries Ltd,
43397,AIFL,Ashapura Intimates Fashion Ltd,INE428O01016
3111,ASHAPURMIN,Ashapura Minechem Ltd,INE348A01023
74017,542579,Ashapuri Gold Ornament Ltd,INE05FR01011
60074,540024,Ashari Agencies Ltd,INE361S01010
4265,512602,Ashari Properties & Finances Ltd,
2352,519174,Ashiana Agro Industries Ltd,INE709D01012
2769,ASHIANA,Ashiana Housing Ltd,INE365D01021
2782,513401,Ashiana Ispat Ltd,INE587D01012
20891,590122,Ashika Credit Capital Ltd,INE094B01013
3058,ASHIMASYN,Ashima Ltd,INE440A01010
7651,512247,Ashirwad Capital Ltd,INE894A01026
4845,526847,Ashirwad Steels & Industries Ltd,INE338C01012
5028,530429,Ashish Polyplast Ltd,INE831C01016
68596,541702,Ashnisha Industries Ltd,INE694W01016
1099,507872,Ashnoor Textile Mills Ltd,INE372I01018
3937,ASHOKALCO,Ashok Alco-Chem Ltd,INE994D01010
31,ASHOKLEY,Ashok Leyland Ltd,INE208A01029
25513,ASHOKA,Ashoka Buildcon Ltd,INE442H01029
24808,519022,Ashoka Cotseeds Ltd,
71813,540923,Ashoka Metcast Ltd,INE760Y01011
4885,526983,Ashoka Refineries Ltd,INE760M01016
3199,TATIASKYLN,Ashram Online.com Ltd,INE293C01019
38,ASOCSTONE,Asi Industries Ltd,INE443A01030
24636,538777,Asia Capital Ltd,INE131Q01011
404,511028,Asia Pacific Investment Trust Ltd,
5281,530899,Asia Pack Ltd,INE784M01016
3122,ASIANALLOY,Asian Alloys Ltd,
1263,505672,Asian Bearing Ltd,INE046C01011
1809,ASIANELEC,Asian Electronics Ltd,INE441A01026
4262,524695,Asian Fertilizers Ltd,INE01OY01018
7598,532047,Asian Films Production & Distribution Ltd,INE581B01035
6656,531392,Asian Flora Ltd,
6805,507530,Asian Food Products Ltd,INE04VT01017
27798,ASIANTILES,Asian Granito India Ltd,INE022I01019
32414,AHLEAST,Asian Hotels (East) Ltd,INE926K01017
33,ASIANHOTNR,Asian Hotels (North) Ltd,INE363A01022
40111,AHLWEST,Asian Hotels (West) Ltd,INE915K01010
4983,530355,Asian Oilfield Services Ltd,INE276G01015
34,ASIANPAINT,Asian Paints Ltd,INE021A01026
3785,524434,Asian Petroproducts & Exports Ltd,INE810M01019
5342,531847,Asian Star Company Ltd,INE194D01017
4267,519532,Asian Tea & Exports Ltd,INE822B01017
5026,530413,Asian Vegpro Industries Ltd,INE01OU01016
15877,506159,Asis Logistics Ltd,INE888E01020
5925,530723,Asit C Mehta Financial Services ltd,INE041B01014
37406,ASLIND,ASL Industries Ltd,INE617I01024
