id,mstarId,name,isin
264,F000000JWE,Invesco India Corporate Bond Fund Regular Annual Dividend Payout,INF205K01QX3
265,F00000PD8S,Invesco India Corporate Bond Fund Direct Plan AnnualDividend Payout,INF205K01RA9
266,F00000PD8O,Invesco India Corporate Bond Fund Direct Plan Discretionary Dividend Payout,INF205K01RD3
267,F00000PD8T,Invesco India Corporate Bond Fund - Direct Plan - Growth,INF205K01RF8
268,F00000PD8Q,Invesco India Corporate Bond Fund Direct Plan MonthlyDividend Payout,INF205K01RG6
269,F00000PD8V,Invesco India Corporate Bond Fund Direct Plan Quarterly Dividend Payout,INF205K01RI2
271,F000000JWC,Invesco India Corporate Bond Fund Regular Growth,INF205K01RM4
272,F000000JVU,Invesco India Corporate Bond Fund Regular Monthly Dividend Payout,INF205K01RN2
273,F000000JWF,Invesco India Corporate Bond Fund Regular Quarterly Dividend Payout,INF205K01RP7
274,F00000PD0Z,L&T Triple Ace Bond Fund Direct Plan Growth Plan,INF917K01HN3
275,F00000PD12,L&T Triple Ace Bond Fund Direct Plan Semi Annual Dividend Payout,INF917K01HQ6
276,F00000W3XG,L&T Triple Ace Bond Fund Annual Dividend Payout Option,INF917K01WA9
277,F0GBR06SDH,L&T Triple Ace Bond Fund Quarterly Dividend Payout,INF917K01AG2
278,F00000PD11,L&T Triple Ace Bond Fund Direct Plan Quarterly Dividend Payout,INF917K01HO1
279,F0GBR06SDG,L&T Triple Ace Bond Fund Bonus,
280,F0GBR06SDF,L&T Triple Ace Bond Fund Semi Annual Dividend Payout,INF917K01AI8
281,F0GBR06SDD,L&T Triple Ace Bond Fund Growth,INF917K01AH0
286,F00000SCKG,Nippon India Prime Debt Fund Direct Plan Dividend Payout Option,INF204KA1EO9
287,F00000PD7J,Nippon India Prime Debt Fund Direct Plan Daily Dividend Reinvestment Plan,INF204K01C23
288,F00000PEQM,Nippon India Prime Debt Fund Direct Plan Bonus Plan,
289,F00000PD7H,Nippon India Prime Debt Fund Direct Plan Growth Plan,INF204K01C15
290,F00000PD7K,Nippon India Prime Debt Fund Direct Plan Monthly Dividend Payout Plan,INF204K01C56
291,F00000PEQO,Nippon India Prime Debt Fund Direct Plan Quarterly Dividend Payout Plan,INF204K01C72
292,F00000PD7N,Nippon India Prime Debt Fund Direct Plan Weekly Dividend Payout Plan,INF204K01C31
293,F00000SPT1,Nippon India Prime Debt Fund Dividend Payout Plan,INF204KA1EM3
294,F0GBR06R4U,Nippon India Prime Debt Fund Bonus,
295,F0GBR06R4V,Nippon India Prime Debt Fund Growth,INF204K01EF9
296,F0GBR06R4W,Nippon India Prime Debt Fund Monthly Dividend Payout,INF204K01EJ1
297,F0GBR06R4X,Nippon India Prime Debt Fund Quarterly Dividend Payout,INF204K01EL7
298,F000002FP8,Nippon India Prime Debt Fund Daily Dividend Reinvestment,INF204K01EG7
299,F000002FQN,Nippon India Prime Debt Fund Weekly Dividend Payout,INF204K01EH5
327,F00000TXFV,Axis Credit Risk Fund Direct Growth,INF846K01PJ5
328,F00000TXFW,Axis Credit Risk Fund Direct Monthly Dividend Payout,INF846K01PM9
329,F00000TXFX,Axis Credit Risk Fund Direct Weekly Dividend Payout,INF846K01PK3
330,F00000TXFS,Axis Credit Risk Fund Regular Growth,INF846K01PO5
331,F00000TXFT,Axis Credit Risk Fund Regular Monthly Dividend Payout,INF846K01PR8
332,F00000TXFU,Axis Credit Risk Fund Regular Weekly Dividend Payout,INF846K01PP2
334,F00000V9U0,Baroda Credit Risk Fund Plan A Regular Growth,INF955L01FP0
335,F00000V9U1,Baroda Credit Risk Fund Plan A Regular Monthly Dividend Payout,INF955L01FU0
336,F00000V9U6,Baroda Credit Risk Fund Plan A Regular Quarterly Dividend Payout,INF955L01FV8
338,F00000V9U4,Baroda Credit Risk Fund Plan B Direct Monthly Dividend Payout,INF955L01FZ9
339,F00000V9U7,Baroda Credit Risk Fund Plan B Direct Quarterly Dividend Payout,INF955L01GA0
340,F00000V9U3,Baroda Credit Risk Fund Plan B Direct Growth,INF955L01FR6
341,F00000VFLC,BOI AXA Credit Risk Direct Growth,
342,F00000VFLB,BOI AXA Credit Risk Regular Growth,
343,F00000Z7OI,PGIM India Credit Risk Fund Direct Plan Annual Dividend Reinvestment,INF663L01GH5
345,F00000UI9C,PGIM India Credit Risk Fund Direct Plan Growth,INF663L01GB8
346,F00000Z7OH,PGIM India Credit Risk Fund Direct Plan Monthly Dividend Reinvestment,INF663L01GD4
347,F00000Z7OJ,PGIM India Credit Risk Fund Direct Plan Quarterly Dividend Reinvestment,INF663L01GF9
348,F00000Z7OK,PGIM India Credit Risk Fund Regular Plan Annual Dividend Reinvestment,INF663L01GA0
350,F00000UI97,PGIM India Credit Risk Fund Regular Plan Growth,INF663L01GK9
351,F00000Z7OM,PGIM India Credit Risk Fund Regular Plan Monthly Dividend Reinvestment,INF663L01GM5
352,F00000Z7ON,PGIM India Credit Risk Fund Regular Plan Quarterly Dividend Reinvestment,INF663L01GO1
353,F00000PDUA,DSP Credit Risk Fund Direct Plan Dividend Payout,INF740K01OT2
355,F00000PDUC,DSP Credit Risk Fund - Direct Plan - Growth,INF740K01OS4
356,F00000PDUD,DSP Credit Risk Fund Direct Plan Monthly Dividend Payout,INF740K01OV8
357,F00000PDUE,DSP Credit Risk Fund Direct Plan Quarterly Dividend Payout,INF740K01OX4
359,F00000O25Y,DSP Credit Risk Fund Regular Monthly Dividend Payout,INF740K01JW6
360,F00000Z7TN,DSP Credit Risk Fund Regular Quarterly Dividend Reinvestment,INF740K01JY2
362,F00000Z7TL,DSP Credit Risk Fund Regular Dividend Reinvestment,INF740K01581
363,F0GBR06SE4,DSP Credit Risk Fund Regular Growth,INF740K01599
365,F00000PDJ5,Franklin India Credit Risk Fund Direct Dividend Payout,
366,F00000PDJ6,Franklin India Credit Risk Fund - Direct - Growth,
367,F00000Z7YA,Franklin India Credit Risk Fund Dividend Reinvestment,
368,F00000NCC9,Franklin India Credit Risk Fund Growth,
369,F00000T2G9,HDFC Credit Risk Debt Fund Direct Plan Growth Option,INF179KA1FZ3
370,F00000Z810,HDFC Credit Risk Debt Fund Direct Plan Quarterly Dividend Reinvestment Option,
371,F00000T2GA,HDFC Credit Risk Debt Fund Direct Plan Quarterly Dividend Payout Option,INF179KA1GA4
372,F00000T2G7,HDFC Credit Risk Debt Fund Growth Option,INF179KA1GC0
373,F00000T2G8,HDFC Credit Risk Debt Fund Quarterly Dividend Payout Option,INF179KA1GD8
374,F00000UR2D,HDFC Credit Risk Debt Fund Regular Option Normal Dividend Payout Option,INF179KA1I87
375,F00000VID4,ICICI Prudential Credit Risk Fund Annual Dividend Payout,INF109KB1AG8
377,F00000Z89O,ICICI Prudential Credit Risk Fund Direct Plan Annual Dividend Reinvestment,INF109KB1AE3
378,F00000PCRN,ICICI Prudential Credit Risk Fund Direct Plan Growth,INF109K01V00
379,F00000PHJH,ICICI Prudential Credit Risk Fund Direct Plan Half Yearly Dividend Payout,INF109K01V26
